_line_no,arxiv_id,title,category,published_at,source_url,pdf_url,license_url_screen,license_status,local_pdf,decision,priority,reason,abstract,license_name,license_url_license,license_decision,final_decision
12,2609.10913v1,Learned Continuous Synthesis of Quadratic Difference Tone Spectra,copyright,2026-09-09T23:49:30Z,http://arxiv.org/abs/2609.10913v1,https://arxiv.org/pdf/2609.10913v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.10913v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Quadratic difference tones (QDTs) are a species of auditory distortion product in which a ""phantom"" pure tone, absent from the acoustic signal, is clearly audible to listeners. Exploiting this phenomenon, one can synthesize harmonically rich tones for musical purposes, a technique called Quadratic Difference Tone Spectrum (QDTS) synthesis. Previous works have introduced numerical methods to synthesize QDTS based on the distortion function, which links a target QDTS and an overtone-structured carrier signal. While accurate, these methods were stochastic and discontinuous, making them difficult to control for musical purposes and effectively limiting them to stationary signals. This paper proposes a neural network-based approach that learns an approximate inverse of the distortion mapping in an autoencoder-like configuration, producing a continuous approximation that addresses prior limitations. Experimental results show that, although slightly less numerically precise, the method is sufficient for perceptual and musical applications. We also implement a real-time version in Max and evaluate its performance. Various sound examples demonstrate its expressive and musical potential. The source code, audio examples, tutorials, and software accompanying this work are available at https://cordutie.github.io/projects/qdts.html",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP_NONCOMMERCIAL_ONLY,FINAL_KEEP_NONCOMMERCIAL
15,2609.09489v1,Audio Deepfake Detection Using Temporal Coherence Analysis,copyright,2026-09-08T22:08:30Z,http://arxiv.org/abs/2609.09489v1,https://arxiv.org/pdf/2609.09489v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.09489v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"The proliferation of AI-generated audio (so-called ""deepfake"" audio) poses significant threats to information integrity, from voice cloning fraud to synthetic music copyright disputes. We present a temporal coherence analysis framework built upon Contrastive Language-Audio Pretraining (CLAP) embeddings that spans speech, instrumental music, and music with vocals. By computing pairwise cosine similarities between audio segment embeddings and extracting statistical features from the resulting distributions, we train lightweight ensemble classifiers that reliably distinguish authentic from synthetic audio. Our work provides an interpretable, computationally efficient alternative to common deep learning methods while still achieving competitive performance across speech and music domains. Further, we reveal two notable empirical findings about audio deepfakes: (1) a feature-label inversion phenomenon in which 21 of 29 statistical features reverse their discriminative direction between training and in-the-wild deployment, and (2) a speech--music direction reversal in which entropy discriminates in opposite directions for speech and music deepfakes.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
28,2609.12774v1,DiffSynth-Music: Audio-Conditioned KV-Cache Adapters for Controllable Music Generation,copyright,2026-09-11T12:28:28Z,http://arxiv.org/abs/2609.12774v1,https://arxiv.org/pdf/2609.12774v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.12774v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Text and lyrics specify broad musical characteristics and sung content but offer limited control over musical timing, melody, and reference-based style. We introduce DiffSynth-Music (https://modelscope.cn/models/DiffSynth-Studio/DiffSynth-Music), a framework that adds composable audio conditioning to a music synthesis backbone through layer-wise key-value injection. The three template models, Control, Prosody, and Reference, are initialized from the backbone diffusion transformer and trained with conditional flow matching. They support five control types: beats, vocals, accompaniment, prosody, and reference audio. A shared variational autoencoder maps conditioning waveforms into a common latent space, enabling their attention memories to be combined. With the template timestep fixed at the clean-data endpoint and other inputs held constant, each control cache is computed once and reused throughout sampling. Training pairs are derived from music recordings using beat extraction, source separation, vocal resynthesis, and reference-excerpt selection. Single-control evaluations on Mandarin and English songs demonstrate improved adherence across all five control types and better lyric fidelity under vocal conditioning relative to the backbone. Automatic music-quality and instruction-following scores remain broadly comparable to those of the evaluated base models, with metric-specific trade-offs. We release the three template models to support research and creative applications in controllable music generation.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
29,2609.16034v1,StepAudio 3 Music Technical Report,copyright,2026-09-11T10:02:11Z,http://arxiv.org/abs/2609.16034v1,https://arxiv.org/pdf/2609.16034v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.16034v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"We introduce StepAudio 3 Music, a large-scale, long-form music generation model that supports explicit musical planning and open-domain text-controlled generation. The StepAudio Music Tokenizer represents audio as a 50-Hz stream from a 65536-entry single codebook, using semantically informed self-supervised and multi-task training to preserve musical structure and reconstruction-relevant information. A flow-matching diffusion Transformer (DiT) predicts continuous StepAudio VAE latents, which our VAE decoder converts into 48-kHz audio. This discrete-continuous design is guided by comparisons of single-codebook VQ, Semantic and Acoustic RVQ, and different DiT configurations. For explicit planning, a Mixture-of-Experts autoregressive model uses ABC notation to produce an intermediate arrangement plan (ABC-CoT) before predicting music tokens, making harmony, rhythm, and melodic structure part of the generation context. A progressive training curriculum and supervised fine-tuning support song and instrumental generation, accompaniment generation from dry vocals, and cover-song synthesis for up to 5 minutes and 30 seconds. With reinforcement learning via direct preference optimization (DPO), the final model achieves the highest AudioBox Content Enjoyment, Content Usefulness, and Production Quality scores and the highest MuQ-MuLan similarity among the evaluated systems, with competitive SongBench results. On the preliminary Artificial Analysis Music Arena Vocals leaderboard, it obtains a Quality Elo of 1105, behind only Suno V5.5 and Mureka and ahead of Suno V5, MiniMax models, and other systems. Audio demonstrations are available at https://stepaudiollm.github.io/step-audio-3-music.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
55,2609.16315v1,SongCraft: Unified Song Generation and Editing with Reconstructive Learning,authorship,2026-09-14T20:25:58Z,http://arxiv.org/abs/2609.16315v1,https://arxiv.org/pdf/2609.16315v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.16315v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Song generation and editing have mostly been treated as separate tasks. Existing editing methods often require noise injection and regeneration or curated paired training data. We propose a unified approach for song generation and editing based on reconstructive pretraining, in which a model is trained to reconstruct audio from varying numbers of interpretable conditions. With conditions such as text and lyrics, the model learns to generate diverse songs. With dense conditions specifying fine-grained music attributes, the model learns to reconstruct the target and enables editing by modifying any single attribute while keeping others fixed. This leads to SongCraft, a latent flow matching based model trained for both generation and fine-grained editing. To improve song generation quality, we further introduce word-level phoneme alignment that improves pronunciation learning and accelerates convergence, beat conditioning that improves general musicality, and representation alignment on VAE latent space that produces semantically meaningful latents for improved generation quality. Experiments show that SongCraft achieves the lowest word error rate among evaluated song generation baselines while maintaining competitive audio quality. We further show that a single model can support editing of lyrics, vocal melody, beats, and singer identity, and we also study the trade-off between reconstruction quality and editability.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
63,2609.10199v1,"Seeing the Voice, Preserving the Self: A Participatory Design Approach to Deaf-Centric Text-to-Speech",authorship,2026-09-09T14:04:39Z,http://arxiv.org/abs/2609.10199v1,https://arxiv.org/pdf/2609.10199v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.10199v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"We describe a participatory design approach toward developing Deaf-centric text-to-speech (TTS) technologies. While TTS is growing rapidly in the mainstream, it has received little attention to date in the deaf and hard of hearing (DHH) technology space. Critical problems have remained unaddressed for DHH users, including the ability to manipulate tone, emotions and delivery via non-auditory means. Verifying that the generated speech matches intent and is appropriate for a given situation without having to listen to it is another challenge. Respecting cultural and identity factors in the generated speech is also important. This work explores the design space with DHH participants through two focus groups, three co-design sessions, and four one-on-one early-stage design evaluation sessions. Participants included people both familiar and unfamiliar with TTS, as well as DHH content creators. We describe key findings, design ideas, results, and implications for future Deaf-centric TTS development. We also identify unmet technology requirements that pose barriers to adoption of Deaf-centric TTS technology.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
70,2609.00987v1,On the Human and Computer Alignment of Attribute-Based Music Matches,authorship,2026-09-01T09:41:29Z,http://arxiv.org/abs/2609.00987v1,https://arxiv.org/pdf/2609.00987v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.00987v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Recent advances in generative AI are raising ethical concerns regarding the originality of generated content and the potential replication of training data, with further implications for transparency, attribution, and intellectual property. In music, several computational approaches have been proposed to identify potential replication, using audio-based similarity metrics. Yet, their alignment with human judgments across distinct musical attributes remains underexplored. To address this gap, we conduct a perceptual experiment on music matches, defined as strongly similar musical excerpts. We focus on five musical attributes: melody, harmony, rhythm, voice, and timbre. We design a triplet-based forced-choice task comprising 300 cases, including plagiarism examples, cover songs, and AI-generated music. From this experiment, we introduce the MATCHA (Musical Attribute-based Triplet Comparison with Human Annotations) dataset: a collection of 1105 perceptual assessments of attribute-based music matches from 83 expert participants. Our findings reveal measurable agreement among participants in identifying matches across attributes. We further observe partial alignment between human judgments and computational similarity measures. Overall, this work underscores the importance of domain-specific and perceptually grounded evaluation frameworks for generative AI in creative practice.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
105,2609.16989v1,Taming Long-form Text-to-Speech,voice_cloning,2026-09-15T11:03:52Z,http://arxiv.org/abs/2609.16989v1,https://arxiv.org/pdf/2609.16989v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.16989v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Long-form text-to-speech (TTS) enables multi-turn conversations with consistent prosody and higher quality voice cloning from longer reference audio. Recent open-weights autoregressive TTS models such as Qwen3-TTS and VoxCPM2 attain state-of-the-art word error rate (WER) and speaker similarity (SIM) on short-form prompts but significantly deteriorate when used with long-form prompts. We propose Localized Attention-Constrained Inference (LACI), an inference-only method to detect TTS errors in near real-time, roll back to the error onset and regenerate with temporary guardrails, adding negligible computational overhead. Using LACI, we improve worst-of-N WER across 10 RNG seeds for Qwen3-TTS-0.6B from 35.2% to 3.4% on prompts longer than 1500 words, even surpassing its short-form reliability of 5.4\% on prompts with fewer than 500 words. To demonstrate the efficacy of LACI on voice cloning reliability, we propose a sliding-window version of the SIM metric that we call wSIM. wSIM exposes several novel failure patterns that are not captured by SIM. LACI improves worst-of-N wSIM from 0.01 to 0.47 on 120 seconds of reference audio while reducing the rate of catastrophic generations with WER above 30% from 26% to below 1%",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,KEEP,FINAL_KEEP
107,2609.15465v1,Building a Dataset for Music Sample Identification,voice_cloning,2026-09-14T12:27:55Z,http://arxiv.org/abs/2609.15465v1,https://arxiv.org/pdf/2609.15465v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.15465v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Sample identification (SI) is the task of matching an element of a musical work to its musically transformed versions used to create new works. The task has received little attention and lacks large-scale publicly available data. In this work, we mine sampling annotations from a music database and split them for training and evaluation. The resulting dataset is nearly three orders of magnitude larger than the existing SI benchmarks, with training, validation, and test sets of 114 k, 6 k, and 10 k tracks. We find that naively splitting the annotations places the same tracks in different sets. To avoid this, we construct a graph from the annotations and split it over connected components. We further find that a single mega-component contains half of the annotations, making component-wise splitting incompatible with balanced splits; we trim it, yielding a leakage-aware pipeline. We share the dataset for non-commercial scientific research purposes only and make the data-analysis and splitting code publicly available. We hope that our work fosters research on SI.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
108,2609.16090v1,MUUNRiver-Bench: Diagnosing Relation-Dependent Music Retrieval with Multimodal Instructions,voice_cloning,2026-09-14T11:22:53Z,http://arxiv.org/abs/2609.16090v1,https://arxiv.org/pdf/2609.16090v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.16090v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Music retrieval is relation-dependent: given a reference track, a listener may seek its style with a new theme, a cover, or a comparable voice, and these intents demand contradictory rankings. We present MUUNRiver-Bench, a diagnostic benchmark whose reference-audio queries use natural-language instructions to define relevance. A pipeline combining expert genre priors, LLM-generated prompts and lyrics, synthesis, and expert review yields 3,440 tracks spanning 13 genres and 116 sub-genres, and seven tasks: similar-music, style-preserving lyric-rewriting, lyric-preserving style-rewriting, cover, vocal-timbre, isolated-vocal, and segment retrieval. Across six models in eight configurations, task-wise rank reversals reveal complementary biases: acoustic encoders favour local identity, whereas text-aligned encoders favour semantic relations. Frozen encoders diagnose default similarity preferences; instruction-aware and audio-text fusion systems provide exploratory tests of textual conditioning, with neither simple fusion scheme consistently improving its backbone",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
