arxiv_id,title,category,license_name,license_url,license_decision,abs_url
2609.17263v1,CAD-Based Relation Learning and Geometric-Symbolic Planning for Robotic Assembly,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.17263
2609.16890v1,Cascade: Hierarchical Recoverability Control for Large Language Model Unlearning,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.16890
2609.16666v1,Development of a 4D Cerebral Microvascular Imaging Platform for Mouse Stroke Model,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.16666
2609.16319v1,ConGraspXL: Controllable Constraint-Conditioned Dexterous Grasping Motion Synthesis,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.16319
2609.15491v1,Optimal Sensitivity of the general Wheatstone Bridge,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.15491
2609.15458v1,Mobility- and Feedback-Aware Multi-Level Conflict-Triggered Hybrid Beamforming for Multi-User mmWave UAV Systems,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.15458
2609.14567v1,Learning Multi-Agent Task Assignment and Navigation in the Factory: from Simulation to Real Robots,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.14567
2609.14327v1,Nonparametric Variance-Penalized Actor-Critic: Statistical Inference for Risk-Sensitive Reinforcement Learning,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.14327
2609.12392v1,Feedback-Efficient Beam-User Association for Near-Field mmWave Hybrid Beamforming Systems,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.12392
2609.12248v1,Trajectory Bundle Method in SE(3) for Black-Box Fixed-Wing Aircraft Trajectory Optimization,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.12248
2609.11280v1,Sequential Detection-Based Iterative Blind Separation for Single-Channel Co-Frequency Signals,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.11280
2609.10913v1,Learned Continuous Synthesis of Quadratic Difference Tone Spectra,copyright,CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP_NONCOMMERCIAL_ONLY,https://arxiv.org/abs/2609.10913
2609.10439v1,Forgetting Only What Matters: Layer-Selective Unlearning toward Robust LLMs,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.10439
2609.09493v1,Strategic Dispatching Equilibrium under Competition in Multi-Regional Ride-Hailing Markets,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.09493
2609.09489v1,Audio Deepfake Detection Using Temporal Coherence Analysis,copyright,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.09489
2609.09333v1,Where Does the Human End? Creative Agency with Generative AI across Five Years of Chinese Digital Painting,copyright,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.09333
2609.09320v1,"Playing Whack-a-Mole with misconceptions about memorization, extraction, and copyright",copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.09320
2609.13258v1,Interpretable Temporal Video Reasoning with EventGraph and EventField,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.13258
2609.06429v1,"Active STAR-RIS-Aided RSMA IoT Systems: Performance Analysis, Model-Based and Data-Driven Resource Allocation Frameworks",copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.06429
2609.06242v1,Task-Oriented Semantic Communication for Hazard Warning and Remote Operation in Connected Vehicle Platoons,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.06242
2609.06115v1,Quantum Theory Angular Momentum; Electronic version 2026,copyright,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.06115
2609.13243v1,GzDRL: Reproducible and Scalable Deep Reinforcement Learning with Gazebo,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.13243
2609.03986v1,Low-Complexity Sequential Detection Framework for Single-Channel Co-Frequency Signal Separation,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.03986
2609.03629v2,EraseSAE: Surgical Concept Erasure in Text-to-Video Diffusion Models via Sparse Autoencoders,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.03629
2609.02268v1,Retrosynthesis of Synthetic Media for Explainable AI Provenance Forensics,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.02268
2609.01563v1,A systematic Approach to constructing a Chance-and-Risk Matrix for Semiconductor Supply Chains,copyright,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,KEEP,https://arxiv.org/abs/2609.01563
2609.13118v1,CMA-OT: Hierarchical Expert Supervision for Dance-to-Music Generation,copyright,CC BY-NC-ND 4.0,http://creativecommons.org/licenses/by-nc-nd/4.0/,REVIEW,https://arxiv.org/abs/2609.13118
2609.12774v1,DiffSynth-Music: Audio-Conditioned KV-Cache Adapters for Controllable Music Generation,copyright,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.12774
2609.16034v1,StepAudio 3 Music Technical Report,copyright,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.16034
2609.06044v1,Art2Song: Enhancing Visual Art Appreciation with Contextual Music Generation,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.06044
2609.04516v1,Pitch-class Steering for Diffusion-based Music Generation via Latent-space Probes,copyright,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.04516
2609.15548v1,Who Chooses the Artwork? Curatorial Agency and Distributed Intent in Botto,authorship,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.15548
2609.15511v1,Authorship attribution and aesthetic evaluation of AI poetry: a case study with Haiku,authorship,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.15511
2609.15384v1,Partitioned Co-Simulation for CAD-integrated Vibroacoustic Problems in Unbounded Domains,authorship,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.15384
2609.14886v1,PeerPen: AI-Assisted Writing for Online Mental Health Peer Support,authorship,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.14886
2609.12341v1,I Am No One: Style-Aware Paraphrasing for Text Anonymization,authorship,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.12341
2609.11829v2,WFDroneBench: A Benchmark for Sensor Placement and Drone Routing for Wildfire Detection,authorship,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,https://arxiv.org/abs/2609.11829
2609.10945v1,LLMVul: A Vulnerability-Labeled Dataset of LLM-Generated C/C++ Functions from Real Production Repositories,authorship,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.10945
2609.10738v1,"What Makes Creation Human? Authorship, Reasons, and Meaningful Human Control in Generative AI",authorship,arXiv non-exclusive distribution license,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,REVIEW,https://arxiv.org/abs/2609.10738
